Id,PID,SalePrice,MS SubClass_20,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_150,MS SubClass_160,MS SubClass_180,MS SubClass_190,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Lot Frontage,Lot Area,Lot Area > 30k,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,IsNotLevelContour,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Land Slope_Mod,Land Slope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,IsNotNormalCondition1,IsNotNormalCondition2,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Overall Qual,Overall Cond,Age At Sale,Years Since Remod/Add,IsHipRoof,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 1st_OtherExt,DiffExt2,Mas Vnr Type_BrkFace,Mas Vnr Type_Stone,Mas Vnr Type_None,Exter Qual_Fa,Exter Qual_Gd,Exter Qual_TA,Exter Cond_Fa,Exter Cond_Gd,Exter Cond_Po,Exter Cond_TA,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Bsmt Qual_Gd,Bsmt Qual_TA,Bsmt Qual_FairPoor,Bsmt Qual_No Basement,HasAvGdBsmtExposure,BsmtFin Type 1_BLQ,BsmtFin Type 1_GLQ,BsmtFin Type 1_LwQ,BsmtFin Type 1_Rec,BsmtFin Type 1_Unf,BsmtFin Type 1_No Basement,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC_Fa,Heating QC_Gd,Heating QC_Po,Heating QC_TA,Central Air,NotStdElectrical,1st Flr SF,1st Flr SF > 3000,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,HasBsmtFullBath,HasBsmtHalfBath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual_Gd,Kitchen Qual_TA,Kitchen Qual_Fa,TotRms AbvGrd,IsNotTypFunctional,HasFireplace,HasExGdFireplace,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_NoGarage,Garage Blt After House,Garage Finish_NoGarage,Garage Finish_RFn,Garage Finish_Unf,Garage Cars,Garage Area,IsNotPavedDrive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,HasFence,Misc Val,Mo Sold,Yr Sold,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD ,Unique Old Houses,log_lot_area,pred_lot_frontage,log_lot_frontage,log_lot_frontage_all,Log Sale Price,Log 1st Flr SF,Log Gr Liv Area,Log Lot Area,Log Lot Frontage,Quality * Age,Log Lot Area * Log 1st Flr SF,Garage Cars * Garage Area,Log Gr Liv Area * Log Lot Area,Log Gr Liv Area * Full Bath,Pool Area * Lot Lot Area,Age At Sale * Years Since Remod,Log Gr Liv Area ^ 2,Log Gr Liv Area ^ 3,Quality ^ 2,Quality ^ 3
109,533352170,130500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53.94752206972638,13517,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,8,34,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,533.0,192.0,725.0,0,0,0,0,1,0,725.0,0,754.0,0.0,1479.0,0,0,2,1,3,1,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0,475.0,0,0.0,44.0,0,0,0,0.0,0,0,3,2010,0,0,0,0,0,0,0,1,0,9.511703431483827,53.94752206972638,,3.9880117605237695,11.779128505744886,6.586171654854675,7.2991214627108,9.511703431483827,3.9880117605237695,204,62.64571152982273,950.0,69.42707866368357,14.5982429254216,0.0,170,53.277174127405445,388.8765651459256,36,216
544,531379050,220000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43.0,11492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,13,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,637.0,276.0,913.0,0,0,0,0,1,0,913.0,0,1209.0,0.0,2122.0,1,0,2,1,4,1,1,0,0,8,0,1,0,1,0,0,0,0,0,1,0,1,0,2.0,559.0,0,0.0,74.0,0,0,0,0.0,0,0,4,2009,0,0,0,0,0,0,0,1,0,9.34940642009918,49.12192797887758,3.7612001156935624,3.7612001156935624,12.301382825334498,6.816735880594968,7.660114319173928,9.34940642009918,3.7612001156935624,91,63.732434206155034,1118.0,71.6175219943784,15.320228638347857,0.0,156,58.677351382813455,449.47521953868943,49,343
153,535304180,109000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.0,7922,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,7,57,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,731.0,326.0,1057.0,0,0,0,1,1,0,1057.0,0,0.0,0.0,1057.0,1,0,1,0,3,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,246.0,0,0.0,52.0,0,0,0,0.0,0,0,1,2010,0,0,0,0,0,0,0,1,0,8.977398978181862,62.02493686880801,4.219507705176107,4.219507705176107,11.59910316121128,6.963189985870238,6.963189985870238,8.977398978181862,4.219507705176107,285,62.51133466403765,246.0,62.51133466403765,6.963189985870238,0.0,171,48.48601477932356,337.6173325661422,25,125
318,916386060,174000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.0,9802,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,384.0,384.0,0,1,0,0,1,0,744.0,0,700.0,0.0,1444.0,0,0,2,1,3,1,0,1,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,400.0,0,100.0,0.0,0,0,0,0.0,0,0,4,2010,0,0,0,0,0,0,0,1,0,9.190341725469493,70.1393738480216,4.290459441148391,4.290459441148391,12.066810578196666,6.612041034833092,7.275172319452771,9.190341725469493,4.290459441148391,20,60.76691661294304,800.0,66.86131972744747,14.550344638905543,0.0,12,52.92813227773182,385.06128286728926,25,125
255,906425045,138500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82.0,14235,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,110,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,676.0,676.0,0,0,0,1,1,0,831.0,0,614.0,0.0,1445.0,0,0,2,0,3,1,0,1,0,6,0,0,0,0,0,0,0,1,0,1,0,0,1,2.0,484.0,1,0.0,59.0,0,0,0,0.0,0,0,3,2010,0,0,0,0,0,0,0,1,0,9.563458999712138,87.00041432558275,4.406719247264253,4.406719247264253,11.83862560460953,6.7226297948554485,7.275864600546533,9.563458999712138,4.406719247264253,660,64.2915944133433,968.0,69.5824327947837,14.551729201093066,0.0,1870,52.93820568548616,385.17121676347995,36,216
138,535126040,190000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,137.0,16492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,6,44,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247.0,557.0,1517.0,0,0,0,0,1,0,1888.0,0,0.0,0.0,1888.0,0,0,2,1,2,1,1,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,578.0,0,0.0,0.0,0,0,0,0.0,0,0,6,2010,0,0,0,0,0,0,0,1,0,9.71063069382679,109.34601584665133,4.919980925828125,4.919980925828125,12.154779351142624,7.543273346705446,7.543273346705446,9.71063069382679,4.919980925828125,264,73.24994169244343,1156.0,73.24994169244343,15.086546693410892,0.0,352,56.90097278311678,429.21959139649675,36,216
2827,908186070,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,35.0,3675,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,547.0,0.0,547.0,0,1,0,0,1,0,1072.0,0,0.0,0.0,1072.0,1,0,2,0,2,1,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,525.0,0,0.0,44.0,0,0,0,0.0,0,0,6,2006,0,0,0,0,0,1,0,0,0,8.209308411646937,39.80769628676992,3.5553480614894135,3.5553480614894135,11.84939770159144,6.977281341630747,6.977281341630747,8.209308411646937,3.5553480614894135,6,57.27865440827652,1050.0,57.27865440827652,13.954562683261495,0.0,0,48.68245492026856,339.6711843799698,36,216
145,535154050,142000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.43558125840642,12160,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,51,51,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1000.0,188.0,1188.0,1,0,0,0,1,0,1188.0,0,0.0,0.0,1188.0,1,0,1,0,3,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,2.0,531.0,0,0.0,0.0,0,0,0,0.0,1,0,5,2010,0,0,0,0,0,0,0,0,0,9.405907155520158,79.43558125840642,,4.374946394554498,11.863582336583399,7.080026499922591,7.080026499922591,9.405907155520158,4.374946394554498,255,66.59407191689424,1062.0,66.59407191689424,7.080026499922591,0.0,2601,50.126775239606125,354.898897052075,25,125
1942,535353130,112500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92.34348131180128,15783,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,5,55,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,292.0,632.0,924.0,0,0,0,1,1,0,924.0,0,0.0,0.0,924.0,0,0,1,0,2,1,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,420.0,0,0.0,324.0,0,0,0,0.0,1,400,6,2007,0,0,0,0,0,0,0,1,0,9.666688690398917,92.34348131180128,,4.5255151173840025,11.630708500626612,6.828712071641684,6.828712071641684,9.666688690398917,4.5255151173840025,275,66.01103375292922,420.0,66.01103375292922,6.828712071641684,0.0,3025,46.63130855738486,318.43177966226216,25,125
1956,535426130,135000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70.0,11606,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,38,38,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,650.0,390.0,1040.0,0,0,0,1,1,0,1040.0,0,1040.0,0.0,2080.0,0,1,1,2,5,1,0,0,1,9,0,1,0,1,0,0,0,0,0,0,0,0,1,2.0,504.0,0,335.0,0.0,0,0,0,0.0,0,0,9,2007,0,0,0,0,0,0,0,1,0,9.359277484750553,77.325485035005,4.248495242049359,4.248495242049359,11.813030057420567,6.946975992135418,7.640123172695364,9.359277484750553,4.248495242049359,190,65.01867599029566,1008.0,71.50603279092869,7.640123172695364,0.0,1444,58.37148209395667,445.96531297061085,25,125
